file name,abstract,square,circle,starting x,starting y,height,width
abstract (1).jpg,1,0,0,158,206,313,263
abstract (2).jpg,1,0,0,245,160,280,49
abstract (3).jpg,1,0,0,235,172,277,61
abstract (4).jpg,1,0,0,201,148,282,67
abstract (5).jpg,1,0,0,195,141,292,80
abstract (6).jpg,1,0,0,228,121,308,100
abstract (7).jpg,1,0,0,193,125,310,124
abstract (8).jpg,1,0,0,207,101,323,129
abstract (9).jpg,1,0,0,196,111,320,143
abstract (10).jpg,1,0,0,187,89,334,167
abstract (11).jpg,1,0,0,213,71,345,170
abstract (12).jpg,1,0,0,162,75,351,200
abstract (13).jpg,1,0,0,161,46,352,207
abstract (14).jpg,1,0,0,126,57,361,231
abstract (15).jpg,1,0,0,146,84,362,235
abstract (16).jpg,1,0,0,98,107,346,253
abstract (17).jpg,1,0,0,118,117,341,252
abstract (18).jpg,1,0,0,123,90,357,272
abstract (19).jpg,1,0,0,161,68,371,281
abstract (20).jpg,1,0,0,129,81,374,289
abstract (21).jpg,1,0,0,103,89,369,299
abstract (22).jpg,1,0,0,136,52,392,312
abstract (23).jpg,1,0,0,129,82,386,314
abstract (24).jpg,1,0,0,145,64,392,311
abstract (25).jpg,1,0,0,140,55,412,332
abstract (26).jpg,1,0,0,165,38,414,331
abstract (27).jpg,1,0,0,179,34,415,339
abstract (28).jpg,1,0,0,167,34,421,335
abstract (29).jpg,1,0,0,163,72,401,309
abstract (30).jpg,1,0,0,178,20,423,329
abstract (31).jpg,1,0,0,179,46,424,321
abstract (32).jpg,1,0,0,174,67,415,308
abstract (33).jpg,1,0,0,230,37,434,319
abstract (34).jpg,1,0,0,223,63,420,298
abstract (35).jpg,1,0,0,216,34,429,292
abstract (36).jpg,1,0,0,125,109,360,276
abstract (37).jpg,1,0,0,132,116,380,306
abstract (38).jpg,1,0,0,155,113,371,298
abstract (39).jpg,1,0,0,126,108,382,316
abstract (40).jpg,1,0,0,138,115,385,318
abstract (41).jpg,1,0,0,124,106,371,309
abstract (42).jpg,1,0,0,91,116,403,316
abstract (43).jpg,1,0,0,148,128,367,272
abstract (44).jpg,1,0,0,123,123,386,278
abstract (45).jpg,1,0,0,208,131,372,243
abstract (46).jpg,1,0,0,198,132,356,226
abstract (47).jpg,1,0,0,205,148,382,217
abstract (48).jpg,1,0,0,299,116,376,179
abstract (49).jpg,1,0,0,276,157,381,153
abstract (50).jpg,1,0,0,302,168,358,112
abstract (51).jpg,1,0,0,269,189,357,86
abstract (52).jpg,1,0,0,194,288,357,68
abstract (53).jpg,1,0,0,181,265,358,84
abstract (54).jpg,1,0,0,184,277,373,97
abstract (55).jpg,1,0,0,176,284,372,106
abstract (56).jpg,1,0,0,184,244,346,127
abstract (57).jpg,1,0,0,145,254,368,159
abstract (58).jpg,1,0,0,139,256,356,174
abstract (59).jpg,1,0,0,140,245,380,198
abstract (60).jpg,1,0,0,128,268,386,212
abstract (61).jpg,1,0,0,145,262,372,224
abstract (62).jpg,1,0,0,160,240,367,242
abstract (63).jpg,1,0,0,103,283,392,283
abstract (64).jpg,1,0,0,82,261,377,289
abstract (65).jpg,1,0,0,92,237,373,295
abstract (66).jpg,1,0,0,40,253,366,311
abstract (67).jpg,1,0,0,43,215,362,323
abstract (68).jpg,1,0,0,67,223,368,330
abstract (69).jpg,1,0,0,83,219,353,317
abstract (70).jpg,1,0,0,129,215,345,308
abstract (71).jpg,1,0,0,111,225,349,314
abstract (72).jpg,1,0,0,150,212,313,266
circle (1).jpg,0,0,1,209,152,298,77
circle (2).jpg,0,0,1,159,144,309,148
circle (3).jpg,0,0,1,112,159,323,235
circle (4).jpg,0,0,1,104,152,354,346
